2016-02-19 15:23:09,920 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-19 15:23:10,099 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-19 15:23:10,122 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-19 15:23:10,153 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-19 15:23:10,179 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-19 15:23:10,194 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-19 15:23:10,211 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-19 15:23:10,228 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-19 15:23:10,242 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-19 15:23:10,262 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-19 15:23:10,284 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-19 15:23:10,303 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-19 15:23:10,338 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-19 15:23:10,369 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-19 15:23:10,391 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-19 15:23:10,406 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-19 15:23:10,421 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-19 15:23:10,434 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-19 15:23:10,445 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-19 15:23:10,461 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-19 15:23:10,461 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-19 15:23:10,481 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-19 15:23:10,494 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-19 15:23:10,495 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
2016-02-19 15:23:10,513 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-19 15:23:10,525 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-19 15:23:10,544 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-19 15:23:10,561 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-19 15:23:10,577 |main                 |ComponentContainer            |I| Loading component : [product]
2016-02-19 15:23:10,593 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-19 15:23:10,609 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-19 15:23:10,611 |main                 |ComponentContainer            |W| Location 'C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/lib/securepay' does not exist
