2016-02-19 15:41:00,736 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_MANUFACTURING_RULE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,736 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [SURVEY_QUESTION_CATEGORY] exists in the database but has no corresponding entity
2016-02-19 15:41:00,736 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_METER] exists in the database but has no corresponding entity
2016-02-19 15:41:00,736 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [SURVEY_QUESTION_OPTION] exists in the database but has no corresponding entity
2016-02-19 15:41:00,736 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_METER_TYPE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,736 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [SURVEY_QUESTION_TYPE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_ORDER_ITEM] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [SURVEY_RESPONSE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PAYMENT_METHOD_TYPE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_ACTION] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_ACTION_TYPE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_AUTO_NOTICE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_CHANGE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_COND] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_PURPOSE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_RULE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PRICE_TYPE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_ACTION] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_CATEGORY] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-2       |DatabaseUtil                  |W| Table named [SURVEY_RESPONSE_ANSWER] exists in the database but has no corresponding entity
2016-02-19 15:41:00,737 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_CODE] exists in the database but has no corresponding entity
2016-02-19 15:41:00,744 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_CODE_EMAIL] exists in the database but has no corresponding entity
2016-02-19 15:41:00,744 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_CODE_PARTY] exists in the database but has no corresponding entity
2016-02-19 15:41:00,744 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_COND] exists in the database but has no corresponding entity
2016-02-19 15:41:00,744 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_CONTENT] exists in the database but has no corresponding entity
2016-02-19 15:41:00,744 |OFBiz-config-0       |DatabaseUtil                  |W| Table named [PRODUCT_PROMO_PRODUCT] exists in the database but has no corresponding entity
