2016-02-23 13:06:49,034 |0.0.0.0-8443-exec-47 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:06:49,037 |0.0.0.0-8443-exec-47 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2016-02-23 13:06:49,043 |0.0.0.0-8443-exec-47 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:06:49,045 |0.0.0.0-8443-exec-47 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:06:49,047 |0.0.0.0-8443-exec-47 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:06:49,049 |0.0.0.0-8443-exec-47 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:06:49,050 |0.0.0.0-8443-exec-47 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:06:49,051 |0.0.0.0-8443-exec-47 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [1] milliseconds
2016-02-23 13:06:49,068 |0.0.0.0-8443-exec-47 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:06:49,072 |0.0.0.0-8443-exec-47 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.041,since last([main(Domain:http...):0.041]]
2016-02-23 13:11:26,470 |0.0.0.0-8443-exec-52 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:11:26,470 |0.0.0.0-8443-exec-52 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:11:26,475 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.001s, 111 requests, 70 views in jndi:/0.0.0.0/webtools/WEB-INF/controller.xml
2016-02-23 13:11:26,477 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 13:11:26,479 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 13:11:26,481 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.0s, 26 requests, 10 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/portal-controller.xml
2016-02-23 13:11:26,483 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.0s, 30 requests, 13 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/security-controller.xml
2016-02-23 13:11:26,485 |0.0.0.0-8443-exec-52 |ConfigXMLReader               |I| controller loaded: 0.0s, 5 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/tempexpr-controller.xml
2016-02-23 13:11:26,486 |0.0.0.0-8443-exec-52 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:11:26,533 |0.0.0.0-8443-exec-52 |ScreenFactory                 |I| Got 11 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/webtools/widget/CommonScreens.xml
2016-02-23 13:11:26,536 |0.0.0.0-8443-exec-52 |ScreenFactory                 |I| Got 24 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 13:11:26,546 |0.0.0.0-8443-exec-52 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [7] milliseconds
2016-02-23 13:11:26,584 |0.0.0.0-8443-exec-52 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:26,594 |0.0.0.0-8443-exec-52 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [10] milliseconds
2016-02-23 13:11:26,596 |0.0.0.0-8443-exec-52 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:26,598 |0.0.0.0-8443-exec-52 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:26,598 |0.0.0.0-8443-exec-52 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:26,600 |0.0.0.0-8443-exec-52 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:26,619 |0.0.0.0-8443-exec-52 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:11:26,622 |0.0.0.0-8443-exec-52 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.152,since last([main(Domain:http...):0.152]]
2016-02-23 13:11:28,255 |0.0.0.0-8443-exec-59 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:11:28,255 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 13:11:28,258 |0.0.0.0-8443-exec-59 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:11:28,260 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:11:28,267 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:28,269 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:28,271 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:28,273 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:11:28,274 |0.0.0.0-8443-exec-59 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:11:28,277 |0.0.0.0-8443-exec-59 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [3] milliseconds
2016-02-23 13:11:28,293 |0.0.0.0-8443-exec-59 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:11:28,296 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.041,since last([main(Domain:http...):0.041]]
2016-02-23 13:11:29,654 |0.0.0.0-8443-exec-59 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:11:29,654 |0.0.0.0-8443-exec-59 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
