2016-02-23 15:16:24,647 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-02-23 15:16:24,773 |OFBiz-config-0       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz.tenant".
2016-02-23 15:16:24,773 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz.olap".
2016-02-23 15:16:24,773 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz".
2016-02-23 15:16:24,778 |OFBiz-config-0       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-02-23 15:16:24,778 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-02-23 15:16:24,778 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-02-23 15:16:25,093 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is MySQL
2016-02-23 15:16:25,093 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is MySQL
2016-02-23 15:16:25,093 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Version is 5.7.10-log
2016-02-23 15:16:25,093 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Version is 5.7.10-log
2016-02-23 15:16:25,093 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Name is MySQL Connector Java
2016-02-23 15:16:25,093 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Name is MySQL Connector Java
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-5.1.38 ( Revision: fe541c166cec739c74cc727c5da96c1028b4834a )
2016-02-23 15:16:25,094 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-5.1.38 ( Revision: fe541c166cec739c74cc727c5da96c1028b4834a )
2016-02-23 15:16:25,094 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2016-02-23 15:16:25,094 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-02-23 15:16:25,094 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation None            [false]
2016-02-23 15:16:25,094 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-02-23 15:16:25,094 |OFBiz-config-1       |DatabaseUtil                  |I| - forward only type         [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - max table name length     [64]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - max column name length    [64]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent connections    [0]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [true]
2016-02-23 15:16:25,095 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - outer joins               [true]*
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - limited outer joins       [true]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - full outer joins          [false]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - group by                  [true]*
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - group by not in select    [true]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - column aliasing           [true]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - order by not in select    [false]
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - alter table add column    [true]*
2016-02-23 15:16:25,096 |OFBiz-config-1       |DatabaseUtil                  |I| - non-nullable column       [true]*
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [false]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [64]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [64]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [0]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-02-23 15:16:25,097 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-02-23 15:16:25,098 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-02-23 15:16:25,098 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-02-23 15:16:25,098 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [true]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - outer joins               [true]*
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - limited outer joins       [true]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - full outer joins          [false]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - group by                  [true]*
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - group by not in select    [true]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - column aliasing           [true]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - order by not in select    [false]
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - alter table add column    [true]*
2016-02-23 15:16:25,099 |OFBiz-config-0       |DatabaseUtil                  |I| - non-nullable column       [true]*
2016-02-23 15:16:25,104 |OFBiz-config-0       |DatabaseUtil                  |I| - default fetchsize        [0]
2016-02-23 15:16:25,104 |OFBiz-config-1       |DatabaseUtil                  |I| - default fetchsize        [0]
