2016-02-23 17:05:36,330 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getLastSystemInfoNote] finished in [8] milliseconds
2016-02-23 17:05:36,334 |0.0.0.0-8443-exec-84 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyAcctgPrefAndGroup][partyId,Company(java.lang.String)][roleTypeId,null()]
2016-02-23 17:05:36,341 |0.0.0.0-8443-exec-84 |ScreenFactory                 |I| Got 28 screens in 0.005s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 17:05:36,351 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getVisualThemeResources] finished in [8] milliseconds
2016-02-23 17:05:36,466 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [17] milliseconds
2016-02-23 17:05:36,470 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:05:36,472 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [2] milliseconds
2016-02-23 17:05:36,474 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [2] milliseconds
2016-02-23 17:05:36,478 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:05:36,483 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [4] milliseconds
2016-02-23 17:05:36,497 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/acctgPrefPermissionCheck] finished in [14] milliseconds
2016-02-23 17:05:36,506 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyAccountingPreferences] finished in [23] milliseconds
2016-02-23 17:05:36,522 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getInvoiceRunningTotal] finished in [86] milliseconds
2016-02-23 17:05:36,568 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [28] milliseconds
2016-02-23 17:05:36,570 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:05:36,640 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,641 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,698 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,700 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,760 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:05:36,762 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,821 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:05:36,822 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,882 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:05:36,884 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:05:36,973 |0.0.0.0-8443-exec-84 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 17:05:36,981 |0.0.0.0-8443-exec-84 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.755,since last([main(Domain:http...):0.755]]
2016-02-23 17:08:29,163 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 70B4F476B357FD0C0F63FC2ADF2E9B70.jvm1
2016-02-23 17:08:29,170 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 3F3DA51F3FA9B1B7FB8C825846EA2D75.jvm1
2016-02-23 17:08:29,180 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 8A69C381ABF9BCFF47F110B873BF7BF2.jvm1
2016-02-23 17:08:59,189 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: C74D54B8760E73C0956C38AB9A8A5960.jvm1
2016-02-23 17:08:59,194 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: E00D3E9042CC2CC9530362CE095B1216.jvm1
2016-02-23 17:08:59,199 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 9FD65AFE138DDCA4AAA02CB7BEB24115.jvm1
2016-02-23 17:08:59,202 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 34FD3E77AB92E1A90E4BD2757F3E478D.jvm1
2016-02-23 17:15:26,930 |0.0.0.0-8443-exec-80 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 17:15:26,933 |0.0.0.0-8443-exec-80 |ConfigXMLReader               |I| controller loaded: 0.0s, 22 requests, 14 views in jndi:/0.0.0.0/ap/WEB-INF/controller.xml
2016-02-23 17:15:26,936 |0.0.0.0-8443-exec-80 |ConfigXMLReader               |I| controller loaded: 0.001s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 17:15:26,937 |0.0.0.0-8443-exec-80 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 17:15:26,948 |0.0.0.0-8443-exec-80 |ConfigXMLReader               |I| controller loaded: 0.005s, 482 requests, 228 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2016-02-23 17:15:26,951 |0.0.0.0-8443-exec-80 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/webapp/WEB-INF/controller.xml
2016-02-23 17:15:26,957 |0.0.0.0-8443-exec-80 |RequestHandler                |I| Rendering View [control/main], sessionId=B0807056B645480431D77A9C0212C506.jvm1
2016-02-23 17:15:26,957 |0.0.0.0-8443-exec-80 |RequestHandler                |I| a manual control servlet request was received, removing control servlet path resulting in: view=main
2016-02-23 17:15:27,007 |0.0.0.0-8443-exec-80 |ScreenFactory                 |I| Got 11 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/widget/ap/CommonScreens.xml
2016-02-23 17:15:27,012 |0.0.0.0-8443-exec-80 |ScreenFactory                 |I| Got 1 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/widget/CommonScreens.xml
2016-02-23 17:15:27,033 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getLastSystemInfoNote] finished in [9] milliseconds
2016-02-23 17:15:27,035 |0.0.0.0-8443-exec-80 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyAcctgPrefAndGroup][partyId,Company(java.lang.String)][roleTypeId,null()]
2016-02-23 17:15:27,041 |0.0.0.0-8443-exec-80 |ScreenFactory                 |I| Got 28 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 17:15:27,051 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getVisualThemeResources] finished in [7] milliseconds
2016-02-23 17:15:27,195 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [14] milliseconds
2016-02-23 17:15:27,198 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:15:27,201 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [2] milliseconds
2016-02-23 17:15:27,203 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [2] milliseconds
2016-02-23 17:15:27,206 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:15:27,209 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:15:27,223 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/acctgPrefPermissionCheck] finished in [14] milliseconds
2016-02-23 17:15:27,231 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyAccountingPreferences] finished in [22] milliseconds
2016-02-23 17:15:27,246 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getInvoiceRunningTotal] finished in [77] milliseconds
2016-02-23 17:15:27,272 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [12] milliseconds
2016-02-23 17:15:27,274 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,338 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:27,340 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:27,405 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:27,406 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,468 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,470 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:27,532 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,534 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:27,596 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,598 |0.0.0.0-8443-exec-80 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:27,681 |0.0.0.0-8443-exec-80 |TransactionUtil               |W| No transaction in place, so not suspending.
2016-02-23 17:15:27,685 |0.0.0.0-8443-exec-80 |SequenceUtil                  |I| Got bank of sequenced IDs for [ServerHitBin]; curSeqId=12330, maxSeqId=12340, bankSize=10
2016-02-23 17:15:27,695 |0.0.0.0-8443-exec-80 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 17:15:27,701 |0.0.0.0-8443-exec-80 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.771,since last([main(Domain:http...):0.771]]
2016-02-23 17:15:38,864 |0.0.0.0-8443-exec-77 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 17:15:38,869 |0.0.0.0-8443-exec-77 |ConfigXMLReader               |I| controller loaded: 0.0s, 22 requests, 14 views in jndi:/0.0.0.0/ap/WEB-INF/controller.xml
2016-02-23 17:15:38,875 |0.0.0.0-8443-exec-77 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 17:15:38,877 |0.0.0.0-8443-exec-77 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 17:15:38,891 |0.0.0.0-8443-exec-77 |ConfigXMLReader               |I| controller loaded: 0.008s, 482 requests, 228 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/webapp/accounting/WEB-INF/controller.xml
2016-02-23 17:15:38,895 |0.0.0.0-8443-exec-77 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/webapp/WEB-INF/controller.xml
2016-02-23 17:15:38,901 |0.0.0.0-8443-exec-77 |RequestHandler                |I| Rendering View [control/main], sessionId=B0807056B645480431D77A9C0212C506.jvm1
2016-02-23 17:15:38,901 |0.0.0.0-8443-exec-77 |RequestHandler                |I| a manual control servlet request was received, removing control servlet path resulting in: view=main
2016-02-23 17:15:38,955 |0.0.0.0-8443-exec-77 |ScreenFactory                 |I| Got 11 screens in 0.005s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/widget/ap/CommonScreens.xml
2016-02-23 17:15:38,959 |0.0.0.0-8443-exec-77 |ScreenFactory                 |I| Got 1 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/widget/CommonScreens.xml
2016-02-23 17:15:38,980 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getLastSystemInfoNote] finished in [8] milliseconds
2016-02-23 17:15:38,982 |0.0.0.0-8443-exec-77 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyAcctgPrefAndGroup][partyId,Company(java.lang.String)][roleTypeId,null()]
2016-02-23 17:15:38,990 |0.0.0.0-8443-exec-77 |ScreenFactory                 |I| Got 28 screens in 0.007s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 17:15:38,999 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getVisualThemeResources] finished in [8] milliseconds
2016-02-23 17:15:39,108 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [17] milliseconds
2016-02-23 17:15:39,111 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:15:39,113 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [2] milliseconds
2016-02-23 17:15:39,116 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [3] milliseconds
2016-02-23 17:15:39,123 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [7] milliseconds
2016-02-23 17:15:39,127 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoicePaymentInfoList] finished in [4] milliseconds
2016-02-23 17:15:39,141 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/acctgPrefPermissionCheck] finished in [14] milliseconds
2016-02-23 17:15:39,150 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyAccountingPreferences] finished in [23] milliseconds
2016-02-23 17:15:39,162 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getInvoiceRunningTotal] finished in [86] milliseconds
2016-02-23 17:15:39,187 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [12] milliseconds
2016-02-23 17:15:39,189 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:39,268 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,270 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,331 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:39,333 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,398 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,399 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,455 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [2] milliseconds
2016-02-23 17:15:39,456 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,515 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,517 |0.0.0.0-8443-exec-77 |ServiceDispatcher             |T| Sync service [ap/getPartyNameForDate] finished in [1] milliseconds
2016-02-23 17:15:39,598 |0.0.0.0-8443-exec-77 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 17:15:39,602 |0.0.0.0-8443-exec-77 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.738,since last([main(Domain:http...):0.738]]
2016-02-23 17:17:02,617 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [20011] -- Next runtime: Tue Feb 23 17:32:02 CST 2016
2016-02-23 17:17:02,637 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [20] milliseconds
2016-02-23 17:17:59,269 |andardHost[0.0.0.0]] |ControlEventListener          |I| Destroying session: 96537F32E67BCBC67AC5B27E9374C829.jvm1
2016-02-23 17:23:21,417 |0.0.0.0-8443-exec-84 |ControlEventListener          |I| Creating session: 29CBEEB0685A6F80428A8ABCC5C05EE8.jvm1
2016-02-23 17:23:21,417 |0.0.0.0-8443-exec-84 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-23 17:23:21,417 |0.0.0.0-8443-exec-84 |VisitHandler                  |I| Found visitorId [10000] in cookie
2016-02-23 17:23:21,433 |0.0.0.0-8443-exec-84 |ConfigXMLReader               |I| controller loaded: 0.003s, 482 requests, 228 views in jndi:/0.0.0.0/accounting/WEB-INF/controller.xml
2016-02-23 17:23:21,436 |0.0.0.0-8443-exec-84 |ConfigXMLReader               |I| controller loaded: 0.0s, 39 requests, 19 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/common-controller.xml
2016-02-23 17:23:21,438 |0.0.0.0-8443-exec-84 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/webcommon/WEB-INF/handlers-controller.xml
2016-02-23 17:23:21,439 |0.0.0.0-8443-exec-84 |ConfigXMLReader               |I| controller loaded: 0.0s, 4 requests, 0 views in file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/webapp/WEB-INF/controller.xml
2016-02-23 17:23:21,439 |0.0.0.0-8443-exec-84 |RequestHandler                |I| This is the first request in this visit. sessionId=29CBEEB0685A6F80428A8ABCC5C05EE8.jvm1
2016-02-23 17:23:21,440 |0.0.0.0-8443-exec-84 |LoginWorker                   |W| Could not find userLogin for external login key: EL73654777825
2016-02-23 17:23:21,442 |0.0.0.0-8443-exec-84 |RequestHandler                |I| Rendering View [login], sessionId=29CBEEB0685A6F80428A8ABCC5C05EE8.jvm1
2016-02-23 17:23:21,486 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [accounting/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 17:23:21,490 |0.0.0.0-8443-exec-84 |ScreenFactory                 |I| Got 28 screens in 0.004s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/common/widget/CommonScreens.xml
2016-02-23 17:23:21,493 |0.0.0.0-8443-exec-84 |ScreenFactory                 |I| Got 10 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/accounting/widget/CommonScreens.xml
2016-02-23 17:23:21,496 |0.0.0.0-8443-exec-84 |ScreenFactory                 |I| Got 1 screens in 0.003s from: file:/C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications/commonext/widget/CommonScreens.xml
2016-02-23 17:23:21,496 |0.0.0.0-8443-exec-84 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyNameView][partyId,null()]
2016-02-23 17:23:21,516 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [accounting/getLastSystemInfoNote] finished in [7] milliseconds
2016-02-23 17:23:21,518 |0.0.0.0-8443-exec-84 |PrimaryKeyFinder              |I| Returning null because found incomplete primary key in find: [GenericEntity:PartyAcctgPrefAndGroup][partyId,Company(java.lang.String)][roleTypeId,null()]
2016-02-23 17:23:21,530 |0.0.0.0-8443-exec-84 |ServiceDispatcher             |T| Sync service [accounting/getVisualThemeResources] finished in [9] milliseconds
2016-02-23 17:23:21,599 |0.0.0.0-8443-exec-84 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 17:23:21,605 |0.0.0.0-8443-exec-84 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.188,since last([main(Domain:http...):0.188]]
