2016-02-25 18:10:24,056 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/2.jpg
2016-02-25 18:10:24,057 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,058 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:24,059 |0.0.0.0-8080-exec-45 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,060 |0.0.0.0-8080-exec-45 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.017,since last([themes(Domain:ht...):0.018]]
2016-02-25 18:10:24,062 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,062 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.006,since last([themes(Domain:ht...):0.006]]
2016-02-25 18:10:24,069 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,072 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:24,075 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,075 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.029,since last([themes(Domain:ht...):0.029]]
2016-02-25 18:10:24,081 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:24,081 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/3.jpg
2016-02-25 18:10:24,082 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,085 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,085 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:24,094 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:24,094 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/4.jpg
2016-02-25 18:10:24,095 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,097 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:24,099 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,099 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
2016-02-25 18:10:24,115 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:24,116 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/switch/images/clr/bootshop.png
2016-02-25 18:10:24,117 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,118 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:24,123 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:24,123 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/switch/images/clr/businessltd.png
2016-02-25 18:10:24,124 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:24,129 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:24,129 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.014,since last([themes(Domain:ht...):0.014]]
