2016-02-26 09:51:50,277 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Users/zhenghua/Documents/GitHub/ofbiz/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-26 09:51:50,490 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-26 09:51:50,522 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/zhenghua/Documents/GitHub/ofbiz/framework]
2016-02-26 09:51:50,563 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-26 09:51:50,599 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-26 09:51:50,620 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-26 09:51:50,640 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-26 09:51:50,666 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-26 09:51:50,681 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-26 09:51:50,695 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-26 09:51:50,724 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-26 09:51:50,744 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-26 09:51:50,778 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-26 09:51:50,799 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-26 09:51:50,834 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-26 09:51:50,849 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-26 09:51:50,863 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-26 09:51:50,878 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-26 09:51:50,895 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-26 09:51:50,915 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-26 09:51:50,916 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/zhenghua/Documents/GitHub/ofbiz/themes]
2016-02-26 09:51:50,938 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-26 09:51:50,951 |main                 |ComponentContainer            |I| Loading component : [qlstyle]
2016-02-26 09:51:50,966 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-26 09:51:50,966 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/zhenghua/Documents/GitHub/ofbiz/applications]
2016-02-26 09:51:50,986 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-26 09:51:51,001 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-26 09:51:51,017 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-26 09:51:51,035 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-26 09:51:51,048 |main                 |ComponentContainer            |I| Loading component : [product]
2016-02-26 09:51:51,062 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2016-02-26 09:51:51,074 |main                 |ComponentContainer            |I| Loading component : [accounting]
2016-02-26 09:51:51,076 |main                 |ComponentContainer            |W| Location 'C:/Users/zhenghua/Documents/GitHub/ofbiz/applications/accounting/lib/securepay' does not exist
2016-02-26 09:51:51,076 |main                 |ComponentContainer            |W| Location 'C:/Users/zhenghua/Documents/GitHub/ofbiz/applications/accounting/lib/cybersource' does not exist
2016-02-26 09:51:51,076 |main                 |ComponentContainer            |W| Location 'C:/Users/zhenghua/Documents/GitHub/ofbiz/applications/accounting/lib/worldpay' does not exist
2016-02-26 09:51:51,077 |main                 |ComponentContainer            |W| Location 'C:/Users/zhenghua/Documents/GitHub/ofbiz/applications/accounting/lib/worldpay' does not exist
2016-02-26 09:51:51,086 |main                 |ComponentContainer            |I| Loading component : [humanres]
2016-02-26 09:51:51,103 |main                 |ComponentContainer            |I| Loading component : [order]
2016-02-26 09:51:51,117 |main                 |ComponentContainer            |I| Loading component : [marketing]
2016-02-26 09:51:51,129 |main                 |ComponentContainer            |I| Loading component : [commonext]
2016-02-26 09:51:51,130 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/zhenghua/Documents/GitHub/ofbiz/specialpurpose]
2016-02-26 09:51:51,146 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2016-02-26 09:51:51,148 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Users/zhenghua/Documents/GitHub/ofbiz/hot-deploy]
